14 91
0 1 39.6232
0 2 57.6975
0 3 17
0 4 62.2013
0 5 58.8303
0 6 77.4145
0 7 77.2787
0 8 57.1402
0 9 41.1947
0 10 100.896
0 11 5.38516
0 12 85.4225
0 13 67.5352
1 2 60.6383
1 3 56.0446
1 4 25.9422
1 5 57.5587
1 6 52.6972
1 7 98.4784
1 8 72.9452
1 9 3.60555
1 10 88.6002
1 11 44.911
1 12 59.0339
1 13 67.4759
2 3 59.4643
2 4 59.8164
2 5 6.32456
2 6 45.5412
2 7 45.793
2 8 21.587
2 9 58.2409
2 10 46.8722
2 11 58.3095
2 12 52.6308
2 13 10
3 4 77.0584
3 5 62.2896
3 6 87.9204
3 7 68.0074
3 8 52.5547
3 9 57.2713
3 10 105.551
3 11 11.6619
3 12 96.1353
3 13 69.4262
4 5 54.6443
4 6 32.5576
4 7 104.005
4 8 77.8974
4 9 22.8473
4 10 73.0274
4 11 67.0671
4 12 36.7696
4 13 63.1348
5 6 39.2173
5 7 51.9711
5 8 27.8927
5 9 54.9181
5 10 43.2782
5 11 60
5 12 46.3249
5 13 10
6 7 90.802
6 8 67.0522
6 9 49.0918
6 10 41.1947
6 11 80.9568
6 12 8.24621
6 13 43.566
7 8 26.1725
7 9 97.0824
7 10 78.0256
7 11 74.5453
7 12 97.3088
7 13 47.7598
8 9 71.3442
8 10 63.5689
8 11 55.7315
8 12 74.2159
8 13 27.1662
9 10 85.1645
9 11 46.3897
9 12 55.4437
9 13 64.7765
10 11 102.65
10 12 40.8044
10 13 37.5899
11 12 89.0505
11 13 68.2642
12 13 49.6588
